at,t_s,phase,n,mean_p,z,log_loss,error_rate,p95_ms
2026-09-26T05:27:27.302+00:00,217.5,canary,9827,0.12554,2.68,0.27876,0.0,136.60598
2026-09-26T05:27:37.318+00:00,227.5,canary,9870,0.12849,4.91,0.27875,0.0,137.05301
2026-09-26T05:27:47.339+00:00,237.5,canary,9932,0.1322,7.72,0.28042,0.0,136.38091
2026-09-26T05:28:02.029+00:00,252.2,after-rollback,9918,0.13248,7.93,0.27801,0.0,136.92403
2026-09-26T05:28:12.043+00:00,262.2,after-rollback,9869,0.13269,8.06,0.27592,0.0,137.44211
2026-09-26T05:28:22.065+00:00,272.3,after-rollback,9863,0.13247,7.89,0.27293,0.0,136.69086
2026-09-26T05:28:32.089+00:00,282.3,after-rollback,9878,0.13137,7.08,0.27491,0.0,137.23397
2026-09-26T05:28:42.109+00:00,292.3,after-rollback,9846,0.13062,6.5,0.27093,0.0,137.41708
2026-09-26T05:28:52.128+00:00,302.3,after-rollback,9826,0.1303,6.25,0.2668,0.0,137.32386
2026-09-26T05:29:02.143+00:00,312.3,after-rollback,9874,0.13092,6.74,0.26556,0.0,136.59215
2026-09-26T05:29:12.167+00:00,322.4,after-rollback,9932,0.13078,6.65,0.26212,0.0,136.21616
2026-09-26T05:29:22.192+00:00,332.4,after-rollback,9862,0.12765,4.27,0.25889,0.0,136.21616
2026-09-26T05:29:32.216+00:00,342.4,after-rollback,9854,0.12524,2.46,0.25866,0.0,135.97083
2026-09-26T05:29:42.236+00:00,352.4,after-rollback,9833,0.12182,-0.11,0.25777,0.0,135.97083
2026-09-26T05:29:52.254+00:00,362.5,after-rollback,9798,0.11883,-2.35,0.25581,0.0,135.64897
