bucket_start_utc,t_s,version_1,version_2,share_canary
2026-09-26T05:14:50.376+00:00,0,798,0,0.0
2026-09-26T05:15:00.376+00:00,10,790,0,0.0
2026-09-26T05:15:10.376+00:00,20,799,0,0.0
2026-09-26T05:15:20.376+00:00,30,787,0,0.0
2026-09-26T05:15:30.376+00:00,40,796,0,0.0
2026-09-26T05:15:40.376+00:00,50,691,0,0.0
2026-09-26T05:15:50.376+00:00,60,754,0,0.0
2026-09-26T05:16:00.376+00:00,70,804,0,0.0
2026-09-26T05:16:10.376+00:00,80,792,0,0.0
2026-09-26T05:16:20.376+00:00,90,806,0,0.0
2026-09-26T05:16:30.376+00:00,100,818,0,0.0
2026-09-26T05:16:40.376+00:00,110,800,0,0.0
2026-09-26T05:16:50.376+00:00,120,811,0,0.0
2026-09-26T05:17:00.376+00:00,130,794,0,0.0
2026-09-26T05:17:10.376+00:00,140,816,0,0.0
2026-09-26T05:17:20.376+00:00,150,775,0,0.0
2026-09-26T05:17:30.376+00:00,160,776,0,0.0
2026-09-26T05:17:40.376+00:00,170,826,0,0.0
2026-09-26T05:17:50.376+00:00,180,810,0,0.0
2026-09-26T05:18:00.376+00:00,190,796,0,0.0
2026-09-26T05:18:10.376+00:00,200,744,66,0.081
2026-09-26T05:18:20.376+00:00,210,721,93,0.114
2026-09-26T05:18:30.376+00:00,220,752,77,0.093
2026-09-26T05:18:40.376+00:00,230,743,69,0.085
2026-09-26T05:18:50.376+00:00,240,759,80,0.095
2026-09-26T05:19:00.376+00:00,250,752,71,0.086
2026-09-26T05:19:10.376+00:00,260,753,63,0.077
2026-09-26T05:19:20.376+00:00,270,733,77,0.095
2026-09-26T05:19:30.376+00:00,280,766,91,0.106
2026-09-26T05:19:40.376+00:00,290,741,74,0.091
2026-09-26T05:19:50.376+00:00,300,735,68,0.085
2026-09-26T05:20:00.376+00:00,310,744,84,0.101
2026-09-26T05:20:10.376+00:00,320,730,83,0.102
2026-09-26T05:20:20.376+00:00,330,700,98,0.123
2026-09-26T05:20:30.376+00:00,340,734,92,0.111
2026-09-26T05:20:40.376+00:00,350,738,80,0.098
2026-09-26T05:20:50.376+00:00,360,756,71,0.086
2026-09-26T05:21:00.376+00:00,370,732,94,0.114
2026-09-26T05:21:10.376+00:00,380,725,93,0.114
2026-09-26T05:21:20.376+00:00,390,750,68,0.083
2026-09-26T05:21:30.376+00:00,400,768,7,0.009
2026-09-26T05:21:40.376+00:00,410,806,0,0.0
2026-09-26T05:21:50.376+00:00,420,792,0,0.0
2026-09-26T05:22:00.376+00:00,430,802,0,0.0
2026-09-26T05:22:10.376+00:00,440,805,0,0.0
2026-09-26T05:22:20.376+00:00,450,792,0,0.0
2026-09-26T05:22:30.376+00:00,460,838,0,0.0
2026-09-26T05:22:40.376+00:00,470,801,0,0.0
2026-09-26T05:22:50.376+00:00,480,759,0,0.0
2026-09-26T05:23:00.376+00:00,490,720,0,0.0
2026-09-26T05:23:10.376+00:00,500,769,0,0.0
2026-09-26T05:23:20.376+00:00,510,792,0,0.0
2026-09-26T05:23:30.376+00:00,520,321,0,0.0
